GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
covid-sci-discoveries,covid_sci_discoveries.covid_sci_discoveries,Main,89,0,6,0,15,0,5,0,2,0
covid-sci-discoveries,covid_sci_discoveries.covid_sci_discoveries,App,3,239,0,4,2,48,0,14,0,12
